YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 09 08 16 999 99.0 99.0  0.90  8.00 99.00 999 9999.0 999.0  27.2 999.0 99.0 99.00
2004 09 08 17 999 99.0 99.0  0.80  6.00 99.00 999 9999.0 999.0  27.2 999.0 99.0 99.00
2004 09 08 18 999 99.0 99.0  0.90  8.00 99.00 999 9999.0 999.0  27.3 999.0 99.0 99.00
2004 09 08 19 999 99.0 99.0  0.90  9.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 08 20 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 08 21 999 99.0 99.0  0.80  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 08 22 999 99.0 99.0  0.90  5.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 08 23 999 99.0 99.0  0.80  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 09 00 999 99.0 99.0  0.90  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 09 01 999 99.0 99.0  0.90  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 09 02 999 99.0 99.0  0.90  5.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 03 999 99.0 99.0  0.90  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 04 999 99.0 99.0  1.00  5.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 05 999 99.0 99.0  1.00  5.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 06 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 07 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 09 08 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 09 999 99.0 99.0  1.10  5.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 09 10 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 09 11 999 99.0 99.0  1.10  5.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 09 12 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 09 13 999 99.0 99.0  1.10  5.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 09 14 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 09 15 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 09 16 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 09 17 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.3 999.0 99.0 99.00
2004 09 09 18 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.3 999.0 99.0 99.00
2004 09 09 19 999 99.0 99.0  0.90  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 09 20 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 09 21 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 10 00 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.9 999.0 99.0 99.00
2004 09 10 01 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  28.0 999.0 99.0 99.00
2004 09 10 02 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  28.0 999.0 99.0 99.00
2004 09 10 03 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  28.0 999.0 99.0 99.00
2004 09 10 04 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 05 999 99.0 99.0  0.90  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 06 999 99.0 99.0  0.90  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 10 07 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 08 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 09 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 10 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 11 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 12 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 13 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 14 999 99.0 99.0  1.00  6.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 15 999 99.0 99.0  1.00  5.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 16 999 99.0 99.0  1.00  5.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 10 17 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 18 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 19 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 10 20 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.4 999.0 99.0 99.00
2004 09 10 21 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 10 22 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 10 23 999 99.0 99.0  1.20  5.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 11 00 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 01 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 02 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 03 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 11 04 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 05 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 06 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 07 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 11 08 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 11 09 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
