#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 07 999 99.0 99.0  3.31 18.18 11.01 321 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 00 37 999 99.0 99.0  3.26 18.18 10.59 320 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 01 07 999 99.0 99.0  3.36 18.18 10.87 314 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 01 37 999 99.0 99.0  3.32 18.18 10.83 314 9999.0 999.0  25.7 999.0 99.0 99.00
2021 01 01 02 07 999 99.0 99.0  3.69 16.67 11.59 314 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 02 37 999 99.0 99.0  3.57 16.67 11.11 313 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 03 07 999 99.0 99.0  3.50 16.67 11.19 310 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 03 37 999 99.0 99.0  3.57 18.18 11.43 313 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 04 07 999 99.0 99.0  3.73 18.18 11.88 307 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 04 37 999 99.0 99.0  4.14 16.67 12.48 310 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 05 37 999 99.0 99.0  3.37 16.67 11.32 307 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 06 07 999 99.0 99.0  3.46 16.67 11.53 317 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 06 37 999 99.0 99.0  3.88 16.67 11.87 310 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 07 07 999 99.0 99.0  3.66 15.38 11.58 314 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 07 37 999 99.0 99.0  3.59 16.67 11.91 318 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 08 07 999 99.0 99.0  3.38 16.67 10.88 323 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 08 37 999 99.0 99.0  3.35 16.67 10.78 314 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 09 07 999 99.0 99.0  3.31 16.67 10.58 320 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 09 37 999 99.0 99.0  3.14 16.67 10.24 320 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 10 07 999 99.0 99.0  3.49 16.67 10.78 320 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 10 37 999 99.0 99.0  3.12 15.38  9.98 324 9999.0 999.0  25.6 999.0 99.0 99.00
