Date,WVHT,DPD,MWD,WVHT_Mean,WVHT_Var,Obs
2009-12-31,2.83,13.33,319.0,2.4058333333333333,0.030899242424242444,
2010-01-01,2.28,11.11,332.0,1.9679166666666668,0.03141721014492751,6.0
2010-01-02,1.96,15.38,314.0,1.7123076923076925,0.01975446153846153,7.0
2010-01-03,1.84,14.29,319.0,1.5184615384615383,0.014573538461538473,6.0
2010-01-04,2.15,11.11,312.0,1.9388888888888889,0.02148104575163397,6.0
2010-01-05,4.3,14.29,315.0,3.2930769230769235,0.328606153846154,18.0
2010-01-06,3.47,16.67,308.0,3.026923076923077,0.05031815384615387,15.0
2010-01-07,3.99,14.29,315.0,3.4619230769230773,0.056272153846153916,15.0
2010-01-08,3.51,14.29,312.0,2.9984615384615383,0.046213538461538424,15.0
2010-01-09,2.46,13.33,318.0,2.000769230769231,0.05891138461538456,10.0
2010-01-10,2.82,13.33,325.0,2.1192307692307693,0.12006338461538452,7.0
2010-01-11,5.88,16.67,314.0,4.943461538461539,0.2045755384615383,27.0
2010-01-12,3.5,14.29,321.0,2.977692307692308,0.0858904615384615,15.0
2010-01-13,4.54,14.29,314.0,2.8430769230769233,0.7983021538461534,12.0
2010-01-14,5.45,14.29,311.0,4.37576923076923,0.3297293846153843,15.0
2010-01-15,2.66,11.11,321.0,2.330769230769231,0.04400738461538452,8.0
2010-01-16,2.21,20.0,307.0,1.6772,0.06517099999999999,12.0
2010-01-17,3.5,18.18,315.0,3.0257692307692308,0.03438538461538461,18.0
2010-01-18,3.52,15.38,317.0,3.164230769230769,0.03674538461538464,15.0
2010-01-19,3.06,14.29,317.0,2.6438461538461535,0.029632615384615396,10.0
2010-01-20,3.27,7.69,3.0,2.3634615384615385,0.16870353846153818,7.0
2010-01-21,3.66,13.33,349.0,3.016153846153846,0.1247286153846156,6.0
2010-01-22,1.84,11.11,357.0,1.6996153846153845,0.013443846153846166,7.0
2010-01-23,1.36,14.29,10.0,1.1096153846153847,0.014395846153846155,5.0
2010-01-24,2.62,11.76,311.0,2.2476,0.040019000000000034,10.0
2010-01-25,2.11,11.11,345.0,1.6629166666666666,0.02914329710144929,5.0
2010-01-26,1.47,13.33,312.0,1.2038461538461538,0.010464615384615374,4.0
2010-01-27,3.88,14.29,304.0,3.399230769230769,0.10602338461538459,18.0
2010-01-28,3.53,15.38,317.0,2.8896153846153845,0.08279584615384625,15.0
2010-01-29,2.69,12.5,331.0,2.3253846153846154,0.030937846153846163,8.0
2010-01-30,,,,,,4.0
2010-01-31,,,,,,15.0
2010-02-01,,,,,,7.0
2010-02-02,,,,,,5.0
2010-02-03,,,,,,12.0
2010-02-04,,,,,,10.0
2010-02-05,,,,,,10.0
2010-02-06,,,,,,12.0
2010-02-07,,,,,,6.0
2010-02-08,,,,,,4.0
2010-02-09,,,,,,3.0
2010-02-10,,,,,,15.0
2010-02-11,,,,,,15.0
2010-02-12,,,,,,10.0
2010-02-13,,,,,,10.0
2010-02-14,,,,,,12.0
2010-02-15,,,,,,7.0
2010-02-16,,,,,,5.0
2010-02-17,,,,,,10.0
2010-02-18,,,,,,10.0
2010-02-19,,,,,,8.0
2010-02-20,,,,,,4.0
2010-02-21,,,,,,12.0
2010-02-22,2.74,18.18,333.0,2.29625,0.09971250000000005,8.0
2010-02-23,3.89,16.67,343.0,2.8208333333333333,0.167781884057971,15.0
2010-02-24,2.08,11.76,339.0,1.5503846153846155,0.03680384615384616,6.0
2010-02-25,2.29,14.29,315.0,2.0100000000000002,0.025399999999999978,8.0
2010-02-26,3.21,15.38,324.0,2.7616,0.04240566666666665,12.0
2010-02-27,2.0,12.5,336.0,1.3503846153846153,0.06889984615384619,7.0
2010-02-28,3.6,13.33,331.0,3.1054166666666667,0.04031286231884053,5.0
2010-03-01,5.36,15.38,333.0,4.8684,0.10083066666666661,20.0
2010-03-02,4.01,15.38,343.0,3.536538461538462,0.09468753846153845,15.0
2010-03-03,3.0,12.5,348.0,2.6075999999999997,0.042869,6.0
2010-03-04,2.86,12.5,353.0,2.558846153846154,0.02967461538461532,5.0
2010-03-05,2.45,8.33,33.0,2.2095652173913045,0.012467984189723324,4.0
2010-03-06,1.77,11.76,359.0,1.65,0.005743999999999976,2.0
2010-03-07,2.26,12.5,338.0,1.8407999999999998,0.0715660000000001,6.0
2010-03-08,3.01,13.33,324.0,2.633076923076923,0.03667015384615382,6.0
2010-03-09,3.12,9.09,31.0,2.8517391304347828,0.02270592885375487,5.0
2010-03-10,2.42,9.09,38.0,2.0679999999999996,0.045016666666666615,3.0
2010-03-11,1.86,9.88,4.0,1.6952,0.006734333333333338,3.0
2010-03-12,1.82,7.14,38.0,1.610769230769231,0.010855384615384598,3.0
2010-03-13,1.92,11.76,357.0,1.636923076923077,0.022062153846153877,5.0
2010-03-14,1.68,18.18,308.0,1.4928,0.008595999999999994,3.0
2010-03-15,4.33,15.38,322.0,3.9273076923076924,0.055612461538461624,15.0
2010-03-16,3.77,13.33,331.0,3.2888,0.07429433333333343,12.0
2010-03-17,2.54,14.29,340.0,2.0761538461538462,0.05215261538461541,8.0
2010-03-18,2.35,7.14,10.0,2.188076923076923,0.010112153846153844,4.0
2010-03-19,3.77,14.29,331.0,3.2237500000000003,0.0677635869565217,10.0
2010-03-20,2.26,13.33,326.0,2.060769230769231,0.01093538461538463,7.0
2010-03-21,1.7,15.38,329.0,1.5307692307692307,0.0086313846153846,4.0
2010-03-22,1.36,15.38,329.0,1.2384615384615385,0.004269538461538482,3.0
2010-03-23,3.01,15.38,332.0,2.629230769230769,0.03391938461538463,12.0
2010-03-24,2.47,13.33,332.0,2.251923076923077,0.009552153846153839,8.0
2010-03-25,2.22,11.76,335.0,1.9769230769230768,0.014902153846153817,4.0
